long;str;str
1122;Inferno;"Summons a meteor from the Twisting Nether; causing $22699s1 Fire damage and stunning all enemy targets in the area for $20310d.  An Infernal rises from the crater; under the command of the caster for $20882d."
1126;Mark of the Wild;Increases the friendly target's armor by $s1 for $d.
1127;Food;Restores $o1 health over $d.  Must remain seated while eating.
1129;Food;Restores $o1 health over $d.  Must remain seated while eating.
1130;Hunter's Mark;"Places the Hunter's Mark on the target; increasing the ranged attack power of all attackers against that target by $s2.  In addition; the target of this ability can always be seen by the hunter whether it stealths or turns invisible.  The target also appears on the mini-map.  Lasts for $d."
1131;Food;Restores $o1 health over $d.  Must remain seated while eating.
1132;Critical Strike;
1133;Drink;Restores ${$m2/5*27} mana over $d.  Must remain seated while drinking.
1135;Drink;Restores ${$m2/5*30} mana over $d.  Must remain seated while drinking.
1137;Drink;Restores ${$m2/5*30} mana over $d.  Must remain seated while drinking.
1138;Crystal Protection;Increases Frost and Shadow resistance by $s1 for $d.
1139;Cold Eye;Increases time between target's attacks by $s1% for $d.
1152;Purify;"Purifies the friendly target; removing $s1 disease effect and $s2 poison effect."
1159;First Aid;Heals $o1 damage over $d.
1160;Demoralizing Shout;Reduces the melee attack power of all enemies within $a1 yards by $s1 for $d.
1161;Challenging Shout;Forces all enemies within $a1 yards to focus attacks on you for $d.
1178;Bear Form (Passive);
1180;Daggers;
1194;Frost Nova;
1196;Blizzard;
1210;Conjure Mana Gem;
1214;Ice Armor;
1225;Frost Nova;
1228;Ice Armor;
1234;Brilliance Aura IV;
1241;Cone of Cold;
1243;Power Word: Fortitude;"Power infuses the target; increasing their Stamina by $s1 for $d."
1244;Power Word: Fortitude;"Power infuses the target; increasing their Stamina by $s1 for $d."
1245;Power Word: Fortitude;"Power infuses the target; increasing their Stamina by $s1 for $d."
1249;Conjure Food;
1250;Conjure Food;
1251;Conjure Food;
1266;Dampen Magic;
1267;Amplify Magic;
1302;Damage Immunity Test;
1329;Mutilate;Instantly attacks with both weapons for $<percent>% weapon damage plus an additional $5374s1 with each weapon.  Damage is increased by 20% against Poisoned targets.  Awards 2 combo points.
1330;Garrote - Silence;Silences an enemy for $d.
1350;Feral Spirit;
1364;Unyielding Will;
1373;Teach Summon Felhunter;
1386;Echoes of Lordaeron;
1413;Inferno;
1430;Rejuvenation;Heals the target for ${$m1*5*$<mult>} over $d.
1446;Aquatic Form;
1449;Arcane Explosion;"Causes an explosion of arcane magic around the caster; causing $s1 Arcane damage to all targets within $a1 yards."
1454;Life Tap;Converts ${$m1+$SPI*1.5} health into ${$m1*$<mult>+$SPS*.5*$<mult>} mana.  Spell power increases the amount of mana returned.
1455;Life Tap;Converts ${$m1+$SPI*1.5} health into ${$m1*$<mult>+$SPS*.5*$<mult>} mana.  Spell power increases the amount of mana returned.
1456;Life Tap;Converts ${$m1+$SPI*1.5} health into ${$m1*$<mult>+$SPS*.5*$<mult>} mana.  Spell power increases the amount of mana returned.
1459;Arcane Intellect;Increases the target's Intellect by $s1 for $d.
1460;Arcane Intellect;Increases the target's Intellect by $s1 for $d.
1461;Arcane Intellect;Increases the target's Intellect by $s1 for $d.
1462;Beast Lore;"Gather information about the target beast.  The tooltip will display damage; health; armor; any special resistances; and diet.  In addition; Beast Lore will reveal whether or not the creature is tameable and what abilities the tamed creature has."
1463;Mana Shield;"Absorbs $s1 damage; draining mana instead.  Drains $e mana per damage absorbed.  Lasts $d."
1464;Slam;"Slams the opponent; causing weapon damage plus $s1."
1467;Arcane Explosion;
1472;Arcane Intellect;
1473;Arcane Intellect;
1474;Arcane Intellect;
1475;Arcane Intellect;
1481;Mana Shield;
1485;Metawheel Boulder;Fire at the target with a ranged weapon.
1490;Curse of the Elements;"Curses the target for $d; reducing Arcane; Fire; Frost; Nature; and Shadow resistances by $s1 and increasing magic damage taken by $s2%.  Only one Curse per Warlock can be active on any one target."
1494;Track Beasts;Shows the location of all nearby beasts on the minimap.  Only one form of tracking can be active at a time.
1495;Mongoose Bite;Attack the enemy for ${$AP*0.2+$m1} damage.
1499;Freezing Trap;"Place a frost trap that freezes the first enemy that approaches; preventing all action for up to $3355d.  Any damage caused will break the ice.  Trap will exist for $d.  Only one trap can be active at a time."
1509;GM Only OFF;
1510;Volley;"Continuously fires a volley of ammo at the target area; causing ${$RAP*0.083700+$42243m1} Arcane damage to enemy targets within $a1 yards every ${$1510d/6}.2 $Lsecond:seconds; for $1510d."
1513;Scare Beast;"Scares a beast; causing it to run in fear for up to $d.  Damage caused may interrupt the effect.  Only one beast can be feared at a time."
1515;Tame Beast;"Begins taming a beast to be your companion.  Your armor is reduced by $1515s3% while you focus on taming the beast for 20 sec.  If you lose the beast's attention for any reason; the taming process will fail.  Once tamed; the beast will be very unhappy and disloyal.  Try feeding the pet immediately to make it happy."
1516;Quick Shot;"Instantly fires your weapon; causing $s1 additional damage."
1522;Pet Upgrade (NYI);
1528;Free Master;Frees your master from any bonds.
1535;Fire Nova;"Causes the shaman's active Fire totem to emit a wave of flames; inflicting $8349s1 Fire damage to enemies within $8349a1 yards of the totem."
1536;Longshot II;
1538;Charging;Charges the Rod of Helcular when used at the three ceremonial pyres.
1539;Feed Pet;Feed your pet the selected item.  Feeding your pet increases happiness.  Using food close to the pet's level will have a better result.
1543;Flare;Exposes all hidden and invisible enemies within $a1 yards of the targeted area for $d.
1557;Full Speed;Increase movement speed by $s1
1579;Tame Beast;
1588;Pet Upgrade;
1604;Dazed;A concussive strike dismounts the target and reduces movement speed by $s1%.
1608;Heroic Strike;A strong attack that increases melee damage by $s1 and causes a high amount of threat.
1609;Ashbringer Buzzsaw;
1650;Slowing Strike III;
1664;Savage Assault IV;
1665;Savage Assault V;
1666;Savage Assault;
1669;Savage Assault IV;
1671;Shield Bash;Bashes the target with your shield for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.
1672;Shield Bash;Bashes the target with your shield for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.
1680;Whirlwind;"In a whirlwind of steel you attack up to $i enemies within $a1 yards; causing weapon damage from both melee weapons to each enemy."
1706;Levitate;"Allows the friendly party or raid target to levitate; floating a few feet above the ground.  While levitating; the target will fall at a reduced speed and travel over water.  Any damage will cancel the effect.  Lasts $d."
1710;Summon Felsteed;
1714;Curse of Tongues;"Forces the target to speak in Demonic; increasing the casting time of all spells by $s1%.  Only one Curse per Warlock can be active on any one target.  Lasts $d."
1715;Hamstring;"Maims the enemy; reducing movement speed by $s1% for $d$?s58372[; and has a $58372h% chance to immobilize the target for $58373d.][.]"
1719;Recklessness;Your next $n special ability attacks have an additional $s1% to critically hit but all damage taken is increased by $s2%.  Lasts $d.
1725;Distract;"Throws a distraction; attracting the attention of all nearby monsters for $s1 seconds.  Does not break stealth."
1735;Demoralizing Roar;"The druid roars; decreasing nearby enemies' melee attack power by $s1.  Lasts $d."
1742;Cower;"Your pet cowers; reducing damage taken by $s1% for $d.  While cowering; your pet's movement speed is reduced by $s2%."
1747;Cower;
1748;Cower;
1749;Cower;
1750;Cower;
1751;Cower;
1752;Sinister Strike;"An instant strike that causes $m1 damage in addition to $<percent>% of your normal weapon damage.  Awards $s2 combo $lpoint:points;."
1753;Cower;"Reduces your pet's threat; making creatures less likely to attack it.  While cowering; your pet takes $s2% less damage for $d."
1754;Cower;"Reduces your pet's threat; making creatures less likely to attack it.  While cowering; your pet takes $s2% less damage for $d."
1755;Cower;"Reduces your pet's threat; making creatures less likely to attack it.  While cowering; your pet takes $s2% less damage for $d."
1756;Cower;"Reduces your pet's threat; making creatures less likely to attack it.  While cowering; your pet takes $s2% less damage for $d."
1757;Sinister Strike;"An instant strike that causes $m1 damage in addition to $<percent>% of your normal weapon damage.  Awards $s2 combo $lpoint:points;."
1758;Sinister Strike;"An instant strike that causes $m1 damage in addition to $<percent>% of your normal weapon damage.  Awards $s2 combo $lpoint:points;."
1759;Sinister Strike;"An instant strike that causes $m1 damage in addition to $<percent>% of your normal weapon damage.  Awards $s2 combo $lpoint:points;."
1760;Sinister Strike;"An instant strike that causes $m1 damage in addition to $<percent>% of your normal weapon damage.  Awards $s2 combo $lpoint:points;."
1766;Kick;A quick kick that interrupts spellcasting and prevents any spell in that school from being cast for $d.
1767;Kick;A quick kick that injures a single foe for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.
1768;Kick;A quick kick that injures a single foe for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.
1769;Kick;A quick kick that injures a single foe for $s2 damage.  It also interrupts spellcasting and prevents any spell in that school from being cast for $d.
1770;Kick;A quick kick that injures a single foe for $s1 damage.
1776;Gouge;"Causes ${1+0.21*$AP} damage; incapacitating the opponent for $d; and turns off your attack.  Target must be facing you.  Any damage caused will revive the target.  Awards $s2 combo $lpoint:points;."
1777;Gouge;"Causes ${$m1+0.2*$AP} damage; incapacitating the opponent for $d; and turns off your attack.  Target must be facing you.  Any damage caused will revive the target.  Awards $s2 combo $lpoint:points;."
1784;Stealth;"Allows the rogue to sneak around; but reduces your speed by $s3%.  Lasts until cancelled."
1785;Stealth;"Allows the rogue to sneak around; but reduces your speed by $s3%.  Lasts until cancelled."
1786;Stealth;"Allows the rogue to sneak around; but reduces your speed by $s3%.  Lasts until cancelled."
1787;Stealth;"Allows the rogue to sneak around; but reduces your speed by $s3%.  Lasts until cancelled."
1795;Disheartening Blow II;
1796;Disheartening Blow III;
1797;Disheartening Blow IV;
1798;Disheartening Blow V;
1800;Disheartening Blow II;
1804;Pick Lock;Allows opening of locked chests and doors.
1809;Lockpicking;
1810;Lockpicking;
1811;Scorch;
1822;Rake;"Rake the target for ${$AP/100+$m1} bleed damage and an additional ${$m2*3+$AP*0.18} damage over $d.  Awards $s3 combo $lpoint:points;."
1823;Rake;"Rake the target for ${$AP/100+$m1} bleed damage and an additional ${$m2*3+$AP*0.18} damage over $d.  Awards $s3 combo $lpoint:points;."
1824;Rake;"Rake the target for ${$AP/100+$m1} bleed damage and an additional ${$m2*3+$AP*0.18} damage over $d.  Awards $s3 combo $lpoint:points;."
1825;Lend Pet (NYI);Transfer control of your pet to another player.
1831;Blast Wave;
1833;Cheap Shot;"Stuns the target for $d.  Must be stealthed.  Awards $s2 combo $lpoint:points;."
1834;Gathering Speed;Increases movement speed
1842;Disarm Trap;Disarm a hostile trap.
1843;Disarm;Disarming the trap...
1844;Disarming Fury Effect;"If Disarm is active when this affect is applied; Attumen will choose a new set of powers."
